Wyoming,01,negative
Pennsylvania,01,positive
California,01,positive
Alabama,01,positive
Colorado,01,positive
Maryland,01,negative
California,01,negative
Washington,01,positive
South Carolina,01,negative
Connecticut,01,positive
South Carolina,01,positive
Pennsylvania,01,negative
Colorado,01,positive
Arizona,01,positive
Texas,01,positive
Indiana,01,positive
Texas,01,positive
Ohio,01,negative
Ohio,01,negative
Texas,01,positive
Wisconsin,01,positive
Georgia,01,negative
New York,01,positive
Georgia,01,negative
Texas,01,positive
Texas,01,positive
California,01,positive
New York,01,positive
Massachusetts,01,positive
Virginia,01,positive
Tennessee,01,positive
Ohio,01,positive
Texas,01,negative
Pennsylvania,01,positive
Washington,01,positive
New York,01,positive
California,01,positive
New York,01,positive
California,01,negative
Georgia,01,positive
Utah,01,negative
New Jersey,01,negative
Texas,01,positive
Nevada,01,negative
Arizona,01,positive
Idaho,01,positive
California,01,positive
New Jersey,01,positive
Pennsylvania,01,negative
Florida,01,negative
Nevada,01,negative
Florida,01,negative
California,01,positive
Texas,01,positive
Massachusetts,01,negative
California,01,positive
Florida,01,positive
Ohio,01,positive
Arizona,01,negative
,01,positive
Alabama,01,positive
Missouri,01,positive
Kentucky,01,positive
Missouri,01,negative
Illinois,01,negative
Florida,01,negative
Colorado,01,positive
Washington,01,positive
California,01,positive
Kansas,01,positive
Pennsylvania,01,positive
Nevada,01,positive
Missouri,01,positive
California,01,positive
California,01,positive
Texas,01,positive
Kentucky,01,negative
California,01,positive
Oregon,01,positive
Minnesota,01,positive
Maryland,01,negative
Michigan,01,negative
Florida,01,positive
Iowa,01,positive
South Carolina,01,positive
New York,01,negative
Maryland,01,positive
New York,01,positive
Montana,01,negative
Tennessee,01,positive
Texas,01,positive
Indiana,01,negative
Colorado,01,negative
Pennsylvania,01,positive
South Carolina,01,negative
Texas,01,positive
Washington,01,negative
Michigan,01,positive
Texas,01,negative
Texas,01,positive
Indiana,01,positive
Utah,01,positive
Arizona,01,positive
California,01,negative
Florida,01,positive
Wisconsin,01,positive
Illinois,01,positive
Tennessee,01,positive
Tennessee,01,positive
Tennessee,01,negative
New York,01,negative
Arizona,01,negative
Florida,01,positive
New York,01,positive
California,01,negative
Illinois,01,positive
Arkansas,01,positive
New Mexico,01,positive
California,01,negative
District of Columbia,01,positive
California,01,positive
Texas,01,negative
New York,01,positive
Florida,01,positive
New York,01,positive
Minnesota,01,positive
Colorado,01,positive
Oregon,01,positive
Texas,01,positive
North Carolina,01,positive
California,01,negative
Kentucky,01,positive
Ohio,01,positive
California,01,positive
Connecticut,01,positive
